"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Pakap",3.22827569956222e-13,-0.117063451273755,0.378,0.399,1.02626884489083e-08,"Pakap"
"Kif13b",4.30383454423157e-13,-0.141919388077837,0.276,0.297,1.36818900161122e-08,"Kif13b"
"Rab31",4.41957671131434e-13,-0.113116706385729,0.201,0.224,1.40498343652683e-08,"Rab31"
"Lrrc8b",8.36243049470155e-13,-0.111149143308547,0.216,0.237,2.65841665426562e-08,"Lrrc8b"
"Ccp110",9.21143991230113e-13,-0.103143531242025,0.065,0.081,2.92831674812053e-08,"Ccp110"
"Gnai1",1.06983936582315e-12,-0.114168774912401,0.246,0.268,3.4010193439518e-08,"Gnai1"
"Cped1",1.14499333083845e-12,0.116571489893897,0.042,0.03,3.63993379873543e-08,"Cped1"
"Pik3c2b",1.17459018733972e-12,-0.118394715973952,0.096,0.114,3.73402220555296e-08,"Pik3c2b"
"Mbnl1",1.31879233207418e-12,0.178877235409368,0.328,0.302,4.19244082366383e-08,"Mbnl1"
"Mef2c",1.32417991253012e-12,0.179526467995174,0.419,0.394,4.20956794193326e-08,"Mef2c"
"Astn2",1.35148926503576e-12,-0.104420728788093,0.37,0.392,4.29638437354868e-08,"Astn2"
"Hcn2",3.50244230422031e-12,-0.125070331189261,0.146,0.165,1.11342640851164e-07,"Hcn2"
"Myo6",3.60869222614518e-12,-0.116994967705239,0.261,0.282,1.14720325869155e-07,"Myo6"
"Lims1",3.68199799110661e-12,0.120537573948951,0.261,0.236,1.17050716137279e-07,"Lims1"
"Hepacam",4.15348376901442e-12,-0.109755981030815,0.12,0.139,1.32039249016968e-07,"Hepacam"
"Dpy19l4",4.39669590543608e-12,0.108717037232227,0.139,0.119,1.39770962833813e-07,"Dpy19l4"
"Arhgap22",4.62686023167797e-12,0.120855122230453,0.059,0.046,1.47087886765043e-07,"Arhgap22"
